"","Wavelength","Lens","OD"
"1",190,"Pi18",7
"2",190,"Pi3",7
"3",190,"Pi4",4
"4",190,"Pi5",5
"5",191,"Pi18",7
"6",191,"Pi3",7
"7",191,"Pi4",4
"8",191,"Pi5",5
"9",192,"Pi18",7
"10",192,"Pi3",7
"11",192,"Pi4",4
"12",192,"Pi5",5
"13",193,"Pi18",7
"14",193,"Pi3",7
"15",193,"Pi4",4
"16",193,"Pi5",5
"17",194,"Pi18",7
"18",194,"Pi3",7
"19",194,"Pi4",4
"20",194,"Pi5",5
"21",195,"Pi18",7
"22",195,"Pi3",7
"23",195,"Pi4",4
"24",195,"Pi5",5
"25",196,"Pi18",7
"26",196,"Pi3",7
"27",196,"Pi4",4
"28",196,"Pi5",5
"29",197,"Pi18",7
"30",197,"Pi3",7
"31",197,"Pi4",4
"32",197,"Pi5",5
"33",198,"Pi18",7
"34",198,"Pi3",7
"35",198,"Pi4",4
"36",198,"Pi5",5
"37",199,"Pi18",7
"38",199,"Pi3",7
"39",199,"Pi4",4
"40",199,"Pi5",5
"41",200,"Pi16",4
"42",200,"Pi17",5
"43",200,"Pi18",7
"44",200,"Pi3",7
"45",200,"Pi4",4
"46",200,"Pi5",5
"47",201,"Pi16",4
"48",201,"Pi17",5
"49",201,"Pi18",7
"50",201,"Pi3",7
"51",201,"Pi4",4
"52",201,"Pi5",5
"53",202,"Pi16",4
"54",202,"Pi17",5
"55",202,"Pi18",7
"56",202,"Pi3",7
"57",202,"Pi4",4
"58",202,"Pi5",5
"59",203,"Pi16",4
"60",203,"Pi17",5
"61",203,"Pi18",7
"62",203,"Pi3",7
"63",203,"Pi4",4
"64",203,"Pi5",5
"65",204,"Pi16",4
"66",204,"Pi17",5
"67",204,"Pi18",7
"68",204,"Pi3",7
"69",204,"Pi4",4
"70",204,"Pi5",5
"71",205,"Pi16",4
"72",205,"Pi17",5
"73",205,"Pi18",7
"74",205,"Pi3",7
"75",205,"Pi4",4
"76",205,"Pi5",5
"77",206,"Pi16",4
"78",206,"Pi17",5
"79",206,"Pi18",7
"80",206,"Pi3",7
"81",206,"Pi4",4
"82",206,"Pi5",5
"83",207,"Pi16",4
"84",207,"Pi17",5
"85",207,"Pi18",7
"86",207,"Pi3",7
"87",207,"Pi4",4
"88",207,"Pi5",5
"89",208,"Pi16",4
"90",208,"Pi17",5
"91",208,"Pi18",7
